No,企業名,業種(大分類),業種(小分類),採用情報URL
173,タマノイ酢株式会社,食品,,https://job.rikunabi.com//2022/company/r498200060/employ/
174,株式会社F&Cホールディングス,金属製品,商社（金属）／商社（自動車・輸送機器）／商社（建材・エクステリア）／自動車,https://job.rikunabi.com//2022/company/r498200060/employ/
175,株式会社タカギ,設備・設備工事関連,精密機器／機械／金属製品／商社（インテリア）,https://job.rikunabi.com//2022/company/r498200060/employ/
176,東邦亜鉛株式会社,非鉄金属,半導体・電子部品・その他／機械／金属製品／化学,https://job.rikunabi.com//2022/company/r498200060/employ/
177,スーパーバッグ株式会社 ,紙・パルプ,印刷関連／商社（紙）／商社（石油製品）／文具・事務機器・インテリア,https://job.rikunabi.com//2022/company/r498200060/employ/
178,ローム・ワコー株式会社,半導体・電子部品・その他,精密機器,https://job.rikunabi.com//2022/company/r498200060/employ/
179,オートリブ株式会社,自動車,輸送機器／機械／精密機器／半導体・電子部品・その他,https://job.rikunabi.com//2022/company/r498200060/employ/
180,株式会社河合楽器製作所,その他製造,半導体・電子部品・その他／金属製品／コンピュータ・通信機器・ＯＡ機器／教育関連,https://job.rikunabi.com//2022/company/r498200060/employ/
181,大崎電気工業株式会社,総合電機（電気・電子機器）,電力・電気／重電・産業用電気機器／ソフトウェア／設備・設備工事関連,https://job.rikunabi.com//2022/company/r498200060/employ/
182,三井金属鉱業株式会社,非鉄金属,プラント・エンジニアリング／金属製品／ガラス・セラミックス／自動車,https://job.rikunabi.com//2022/company/r498200060/employ/
183,シンワ株式会社,繊維,その他製造／紙・パルプ,https://job.rikunabi.com//2022/company/r498200060/employ/
184,株式会社トプコン ,精密機器,医療機器／コンピュータ・通信機器・ＯＡ機器／重電・産業用電気機器／機械,https://job.rikunabi.com//2022/company/r498200060/employ/
185,東洋建設株式会社,建設,建築設計／機械設計／設備・設備工事関連／プラント・エンジニアリング,https://job.rikunabi.com//2022/company/r498200060/employ/
186,中村科学工業株式会社,機械,プラント・エンジニアリング／精密機器／自動車／機械設計,https://job.rikunabi.com//2022/company/r498200060/employ/
187,テイ・エス テック株式会社,自動車,輸送機器／機械設計／半導体・電子部品・その他／商社（自動車・輸送機器）,https://job.rikunabi.com//2022/company/r498200060/employ/
188,ダイダン株式会社,設備・設備工事関連,建設／プラント・エンジニアリング,https://job.rikunabi.com//2022/company/r498200060/employ/
189,株式会社愛亀,建設,プラント・エンジニアリング／設備・設備工事関連／農林／建築設計,https://job.rikunabi.com//2022/company/r498200060/employ/
190,株式会社マクシス エンジニアリング,機械,自動車／半導体・電子部品・その他／プラント・エンジニアリング／設備・設備工事関連,https://job.rikunabi.com//2022/company/r498200060/employ/
191,大阪製鐵株式会社 ,鉄鋼,金属製品／建材・エクステリア／建設,https://job.rikunabi.com//2022/company/r498200060/employ/
